City,Gold,Silver,Bronze
Ecuador,1,1,0
Turkmenistan,0,0,0
Mauritius,0,0,1
Seychelles,0,0,0
Czechoslovakia,81,223,182
Great Britain-1,20,10,4
Luxembourg,4,4,0
Mauritania,0,0,0
Czech Republic,42,32,60
Saint Kitts and Nevis,0,0,0
New York Athletic Club #2-4,0,0,0
Trinidad and Tobago,7,8,17
Dominican Republic,3,2,2
Saint Vincent and the Grenadines,0,0,0
Mystery,0,0,0
Jamaica,38,75,44
Liberia,0,0,0
Suriname,1,0,1
Nigeria-2,0,0,0
Nepal,1,0,0
Mongolia,2,10,14
Germany-2,14,4,11
Austria,95,168,150
Clementine V,0,0,0
Bylina-2,0,0,0
Palau,0,0,0
Lithuania,6,7,48
Togo,0,0,1
Namibia,0,4,0
Netherlands Antilles,0,1,0
Iceland,0,15,2
American Samoa,0,0,0
Samoa,0,0,0
Rwanda,0,0,0
Dominica,0,0,0
Great Britain-2,4,10,14
Haiti,0,1,5
Stella-2,0,0,3
Malta,0,0,0
United States-1,38,33,30
United States-2,17,14,20
Argentina-2,0,0,0
"Large boat, Central Naval Prep School ""Poros""-1",17,0,0
Cyprus,0,1,0
Guinea,0,0,0
Xolotl,0,0,0
Belize,0,0,0
Matrero II,0,0,0
Blue Red,0,0,0
Gteborgs Roddklubb-1,0,0,0
Indonesia-1,4,6,4
Germany-1,28,20,22
South Yemen,0,0,0
South Korea,211,222,159
Lucky Girl-1,0,0,5
Mutafo,0,3,0
Sweden-2,0,4,0
Sweden-1,0,2,0
Thailand,9,8,13
Italy-2,0,10,4
Yeoman VII,0,0,0
Yeoman XII,0,0,0
Bermuda,0,0,1
Australasia,20,4,5
Union des Socits Franais de Sports Athletiques,17,12,0
Serbia and Montenegro,12,26,26
Sierra Leone,0,0,0
Bissbi,4,0,0
Papua New Guinea,0,0,0
Greece-3,0,0,0
Yemen,0,0,0
Individual Olympic Athletes,1,1,3
Oman,0,0,0
Fiji,13,0,0
Vanuatu,0,0,0
France-3,2,0,2
Martha-27,0,0,0
Martha-1,0,4,4
Moldova,0,3,5
Canada-2,0,2,0
Canada-1,16,8,12
Yugoslavia,130,167,93
Bahamas,12,11,13
Guatemala,0,1,0
Burevestnik,0,0,0
Druzhba,0,0,0
Soviet Union-2,0,12,12
Soviet Union-1,22,4,0
Olen,0,0,0
Serbia,15,29,41
British Virgin Islands,0,0,0
Mozambique,1,0,1
Heatherbell,0,0,7
Central African Republic,0,0,0
Madagascar,0,0,0
Malaya,0,0,0
Socit Nautique de Bayonne,0,0,0
Bosnia and Herzegovina,0,0,0
Guam,0,0,0
Brazil-1,6,12,2
Cayman Islands,0,0,0
Cupidon Viking,0,0,0
Damoiselle,0,0,0
Slovakia,15,19,13
USFSA,0,13,0
The Cloud,0,0,0
Galerna,0,0,0
Heira II,9,0,0
Nykjbings paa Falster,5,0,0
Barbados,0,0,1
Ireland-2,0,12,0
Spain-2,2,2,0
Guinea Bissau,0,0,0
Mohawk Indians-2,0,0,12
Tornado,2,3,0
Elsie,0,4,0
Roma,0,0,0
Tajamar,0,0,0
Spain-1,0,2,0
"Lemzos Thorichton ""Spetsai""-4",0,0,0
Norway-2,0,0,0
Norway-1,0,0,0
Italy-1,14,8,14
Puerto Rico-2,0,0,0
Mound City Rowing Club-2,0,4,0
Timor Leste,0,0,0
Amolgavar,0,0,0
Congo (Kinshasa),0,0,0
Gabon,0,1,0
Ali-Baba II,0,0,5
May Be VII,0,0,0
East Germany-1,24,10,8
San Marino,0,0,0
Favorite Hammonia-3,0,0,6
Laos,0,0,0
Botswana,0,1,0
Refugee Olympic Athletes,0,0,0
Frankfurt Club,0,15,0
Lett,0,0,0
GyoshuII,0,0,0
North Korea,16,16,33
South Korea-2,4,4,8
Brazil-2,0,2,4
Solomon Islands,0,0,0
Dolfijn,0,0,0
Senegal,0,1,0
Cape Verde,0,0,0
Tip,0,3,0
Yugoslavia-1,0,0,0
rn-2,0,0,0
Crete,0,0,0
Breslau,0,0,0
Germany-3,0,0,0
Romania-2,0,0,0
Club Nautique de Dieppe-5,0,0,0
Norna,4,0,0
Fram,0,0,0
Magda IX,10,0,0
Soviet Union-3,0,0,0
Equatorial Guinea,0,0,0
Bolivia,0,0,0
Saar,0,0,0
Andorra,0,0,0
Japan-2,0,0,0
Austria-1,12,16,4
Austria-2,0,2,2
Antigua and Barbuda,0,0,0
EA II,0,0,0
Canada-3,0,0,0
Czechoslovakia-3,0,0,0
Linglom,0,0,0
Denmark-2,0,0,2
Mosk II,7,0,0
Latvia-2,0,0,0
Elisabeth X,0,5,0
Sweden-3,0,0,2
Ludwigshafener Ruderverein,5,0,0
Australia-2,0,0,0
Latvia-1,0,6,4
Guyoni,0,0,3
Greece-1,0,6,0
Greece-2,0,0,2
West Germany-2,2,0,0
"La Salle Turnverein, Chicago",0,0,0
Gallant,0,5,0
Zimbabwe,17,4,1
Grenada,1,1,0
Hera-1,10,0,0
Swedish Star,0,0,2
Bulgaria-1,0,0,0
Nautikos Omilos-3,0,0,0
Wolseley-Siddeley-1,0,0,0
Hong Kong,1,0,1
Ciocca II,0,0,0
Mirtala,0,0,0
Saint Lucia,0,0,0
Carabinier-5,0,0,0
Pettit-Poucet-6,0,0,0
Carabinier-15,1,0,0
Federated States of Micronesia,0,0,0
Myanmar,0,0,0
Hirondelle,0,0,0
Kerstin-1,0,0,3
Evita VI,0,0,0
Ukraine-2,0,0,0
Russia-3,0,0,0
Malawi,0,0,0
Belarus-1,0,0,0
United States-3,0,0,2
Bronia,0,0,0
Zambia,0,1,1
Denmark-1,0,0,2
Bluebottle,0,0,3
West Germany-1,2,10,14
Rhodesia,0,0,0
East Germany-2,4,8,10
Snap,0,0,3
Chinese Taipei-1,0,0,0
Sao Tome and Principe,0,0,0
Toronto Argonauts,0,9,9
England-1,11,12,0
Hungaria Evezos Egylet,0,0,0
Poland-1,0,2,0
Macedonia,0,0,1
Bohemia,0,1,10
Argonaut Rowing Club,0,0,6
"Life boat naval ship ""Spetsai""-1",0,7,0
Australia-1,2,0,2
Tonga,0,1,0
Nigeria-1,0,0,0
Fortuna,0,0,0
Starlight III,0,0,0
Liechtenstein,2,2,5
Pan,6,0,0
Montenegro,0,14,0
Leander Club-2,0,4,0
"Lemzos Thorichton ""Psara""-3",0,0,0
London City Police-1,8,0,0
Great Britain-3,0,2,4
Sabre,0,0,0
Firebird II,0,0,0
Berliner Ruderverein von 1876-2,0,0,9
Christian Brothers' College-1,0,11,0
Czechoslovakia-1,0,2,0
Czechoslovakia-2,0,0,0
"Passaic Turnverein, Passaic",0,0,0
Primorka,0,0,0
Gambia,0,0,0
Racing Club de France,0,11,0
Grifo III,0,0,0
Grifo IV,0,0,0
Bingo,0,0,3
Damoiselle IV,0,0,0
Crabe II-12,0,0,0
Nina Claire-30,0,0,0
Crabe II-1,0,5,0
Crabe II-4,0,0,5
Nina Claire-2,0,0,4
Qu'Importe,0,0,0
Konstanz,0,0,0
Suzy-2,0,0,0
Mouchette-2,0,10,0
Dansk Idrts Forbund,0,0,0
Marmara,0,0,0
Moseley Wanderers,0,15,0
Chicago Athletic Association-2,0,11,0
Devon and Somerset Wanderers,12,0,0
Unified Team-2,0,2,2
Mistral Hojris,0,0,0
Cook Islands,0,0,0
Mauritius-2,0,0,0
Albania,0,0,0
Romania-1,0,0,2
Pampero,0,0,0
Israel-2,0,0,0
Symphony,0,2,0
Sjhxa,0,0,0
Faneca,0,0,0
Ciocca III,0,0,0
"Marinai della nave da guerra ""Varese""",7,0,17
Lalage,5,0,0
Gallia II,0,0,7
Dinah V,0,0,0
Czech Republic-2,0,0,0
Nora,0,0,0
Monica,0,0,0
Kullan,3,0,0
Shoveller,0,0,0
Amateur Athletic Association,5,0,0
Circus,0,0,0
Aletta,0,0,0
Widgeon,0,0,2
Inca,0,0,0
Czech Republic-1,0,4,6
Relampago,0,0,0
Foxhunters Hurlingham,5,0,0
Thames Rowing Club,0,5,0
"Davenport Turngemeinde, Davenport",0,0,0
"Norwegier Turnverein, Brooklyn",0,0,0
Erna Signe,0,10,0
Sirene,2,0,0
Socit Nautique de Bayonne-2,0,0,5
Socit Nautique de Bayonne-1,0,0,3
Anitra,0,0,0
Snude,0,0,0
White Lady,3,0,0
Web II,0,3,0
Web III,0,0,0
Italy-3,0,0,0
Pistoja/Firenze,0,0,9
West Indies Federation,0,0,5
Posillipo III,0,0,0
Tritons Lillois-2,0,5,0
"Turnverein Vorwrts, Cleveland",0,0,0
Club Nautique de Franais-1,0,0,0
Monaco-1,0,0,0
Boreas-2,0,2,0
Peri,0,0,0
"New York Turnverein, New York",0,6,0
Tichiboo,0,0,0
Siames-Cat,0,0,0
Swaziland,0,0,0
India-1,0,0,0
Italia,6,0,0
Ausonia,0,0,0
Angelita,12,0,0
Burkina Faso,0,0,0
Nortazo,0,0,0
Tom Kyle,0,0,0
Tilly,0,0,0
Esterel-1,2,0,0
North Borneo,0,0,0
Wiking,0,0,0
Buraddoo,0,0,3
Heroine,4,0,0
Burundi,1,1,0
Chok,0,0,0
Atlanta,9,0,0
Germania II,0,0,6
Wannsee,2,0,0
Polyteknisk Roklub-1,0,0,5
Aruba,0,0,0
Buscape II,0,0,0
Nina,0,7,0
Norway-3,0,0,0
Kristiania Roklub-1,0,0,5
Kristiania Roklub,0,0,0
Ormsund Roklub-2,0,0,5
Chuckles,0,0,2
South Africa-2,0,0,0
Chinese Taipei,3,28,18
Winnipeg Shamrocks-1,12,0,0
Olle,6,0,0
United States-10,0,0,0
Camelia,0,0,0
Aschenbrodel,4,4,0
Whitini Star,0,0,0
Puerto Rico-1,0,0,0
Bera,5,0,0
Netherlands-2,0,0,0
Slaghoken,0,3,0
Slaghoken II,3,0,0
Great Britain/Germany,2,0,0
Nikh,0,0,0
Swift,2,0,0
Andorinha,0,0,0
Unified Team-1,4,0,0
Cupidon III,0,0,0
Athens-2,0,0,0
Bulgaria-2,0,0,0
Marga-2,0,0,0
Serendipity,0,0,0
L'Aile VI,6,0,0
Cercle de l'Aviron Roubaix-4,5,0,0
Caprice,0,0,4
"New College, Oxford-2",0,9,0
Compigne Polo Club,0,0,0
Vision,0,4,0
Cambridge University Boat Club-2,0,0,9
Trickson VI,0,0,0
St. Rose-2,0,0,12
Calcinhas,0,0,0
Gteborgs Roddfrening-2,0,0,0
Minerva Amsterdam,3,5,9
Chamukina,0,0,0
Nausikaa 4,0,0,0
New York Athletic Club-1,7,0,0
Arcturus,0,0,0
Belgium-1,1,0,5
St. Louis Southwest Turnverein #1-2,0,5,0
Nauru,0,0,0
Jo,3,0,0
Lucky Star,0,0,0
Namoussa,0,0,5
Briar,0,0,0
Panhellenios Gymnastikos Syllogos-1,0,0,0
Netherlands-1,0,0,2
Gabbiano,0,0,0
Gran Gesto,0,0,0
Ceres II,0,0,0
Covunco III,0,0,0
Chicago Archers,0,0,0
Royal Club Nautique de Gand,0,21,0
Roddklubben af 1912-1,0,5,0
Roddklubben af 1912-2,0,0,0
Bucintoro Venezia-1,3,0,0
Bucintoro Venezia,8,0,0
Edelweiss II-1,3,0,0
Bamba,0,0,0
Rush IV,0,0,0
Boston Archers,0,0,4
Ali-Baba IV,0,0,0
Ali-Baba VI,0,0,0
Ali-Baba IX,0,0,0
Upton Park FC,11,0,0
"BLO Polo Club, Rugby",0,4,0
Hurlingham-2,0,4,0
Leander Club-1,18,0,0
Indonesia-2,0,0,0
Western Rowing Club-3,0,0,6
Pigoule,0,0,0
South Vietnam,0,0,0
Snowten III,0,0,0
Hungaria,0,0,0
Libellule de Paris,0,0,7
Scram,0,0,0
United States Virgin Islands-2,0,0,0
United States Virgin Islands-1,0,0,0
Amstel Amsterdam,0,0,4
Scotland-3,0,0,11
Peri II,0,0,0
Liverpool Police Team-2,0,8,0
Vinha,0,0,0
Fantasio III,0,0,0
Pousse-Moi Pas VII,0,0,0
Norwegian Rowing Association,0,0,0
LaBandera,0,0,0
Gilliatt V,0,0,0
United States Golf Association-3,0,0,10
Trans-Mississippi Golf Association-2,0,10,0
China-2,14,8,12
China-1,28,14,10
Sarcelle-35,0,0,0
Sarcelle-3,0,0,3
Tango,0,3,0
Argentina-1,0,0,0
Brynhild-2,0,1,0
Espuma del Mar,0,0,0
Twins II,0,0,0
Pupilles de Neptune de Lille #2-1,0,0,8
Beaver,0,0,0
Monaco-2,0,0,0
Baccara,0,0,0
Cobweb-1,5,0,0
Ral-Club Barcelona,0,0,0
Vietnam,1,3,0
Elvis Va,1,0,0
Romolo,0,0,0
Aldebaran II,0,0,0
Aldebaran,0,0,0
Argus,0,0,0
Galatea II,0,0,0
Twins VIII,0,0,0
Antwerpia V,0,0,5
Lotta IV,0,0,0
Saga-2,0,0,0
Mari,0,0,0
Paula,0,0,0
Oranje,3,0,0
Willem-Six,0,0,3
DeRuyter,0,0,0
Acturus,0,0,0
Societ Nautique de la Marne,0,0,0
Mexico-2,0,0,0
Teresita,0,0,0
Barion/Bari-2,0,3,0
Eissero VI,0,0,0
New York Athletic Club-4,0,0,0
K Division Metropolitan Police Team-3,0,0,8
Israel-1,0,0,0
Hong Kong-1,0,0,0
Malaysia-1,0,2,0
Cambodia,0,0,0
Complex II,4,0,0
Allegro,0,0,0
Gam II,0,0,0
Ylliam VIII,0,0,0
Quand-Mme-33,0,0,0
Quand-Mme-2,0,9,0
United States-9,0,0,0
Berliner Ruderclub Sport-Borussia-1,0,0,0
Smyrna,0,11,0
Chinese Taipei-2,0,0,0
Calimucho,0,0,0
Bhutan,0,0,0
North Korea-1,0,0,2
Malaysia-2,0,0,2
Kingfisher,0,0,0
Yangon,0,0,0
Gustel V,0,0,0
Sonja II,0,0,0
Jill,0,0,0
Kiel,0,0,0
KNS,0,0,0
Galt Football Club,13,0,0
Tim-Tam III,0,0,0
Uragan,0,0,0
Kon-Tiki,0,0,0
Babe,0,0,0
Poland-2,0,0,0
Antares,0,0,0
Venilia,0,0,3
Hatuey,0,0,0
Mauritius-1,0,0,0
Cincinnati Archers,4,4,0
Morena,0,0,0
Libellule de Paris-3,0,0,0
Societ Nautique de la Marne-3,0,0,0
"Osborne Swimming Club, Manchester",7,0,0
Brussels Swimming and Water Polo Club,0,10,0
Ancora,4,0,0
Saskia,0,0,0
Wales-4,0,0,11
SagaII,0,0,0
Gem,2,0,0
June Climene,0,0,0
Cambria,0,0,0
Oleander XII,0,0,0
Phoenix,0,0,0
Ylliam VII,0,0,0
Ballerina IV,0,0,3
Chicago Athletic Association,0,5,0
Calypse II,0,0,0
Scotland,0,0,0
Scotland-2,0,0,0
Ciocca,0,0,0
Esperia,0,0,0
Tournade-40,0,0,0
Tornade-16,0,0,0
Galejan,0,0,0
Great Britain-4,0,0,0
Cuba-1,0,0,0
Marshall Islands,0,0,0
United States-6,0,0,0
Santa Maria,0,6,0
Dormy-1,3,0,0
Umberta V,0,0,0
Rozenn-3,0,0,0
Jest,2,0,0
Magdalen College Boat Club-1,4,0,0
Western Golf Association-1,10,0,0
Scotia,6,0,0
Red Dragon,0,0,0
"R.-V. Germania, Leitmeritz",0,0,0
Hungary-1,0,2,6
Akatonbo,0,0,0
Terrible,0,0,0
Elisabeth V,3,0,0
Studenternes Roklub-2,0,0,0
Rififi,0,0,0
New York Athletic Club #1-1,4,0,0
Partenope,0,0,0
Bermudes,0,0,0
England,0,1,0
Cornwall,0,15,0
Kiribati,0,0,0
United States-7,0,0,0
Diablo,0,0,0
Plume-patte-32,0,0,0
Plume-Patte-5,0,0,0
Pierre et Jean-3,0,0,0
Pierre et Jean-4,0,0,0
Espadarte,0,0,2
Fruits,0,0,0
Belgium-2,0,0,0
Sidi Fekkar-36,0,0,0
Sidi-Fekkar-14,0,0,0
Souvenance,0,0,0
Meteor,0,0,0
Kurush IV,0,0,0
Vesania,0,0,0
Kurush II,0,2,0
Canopus,0,0,0
Crabe I-11,0,0,0
Crabe I-3,0,0,0
Crabe I-2,0,0,0
Gwendoline-22,0,0,0
Gwendoline-2,0,0,3
United States/France,0,2,0
Vicking,0,0,0
Daisy,0,0,0
Virginie,0,0,0
Acipactli,0,0,0
Belgium-4,0,0,0
Pegaso,0,0,0
Girl Pat,0,0,0
Fada,0,0,0
Bu III,0,0,0
Lerina,3,3,0
"Bagatelle Polo Club, Paris",0,0,4
Bem II,0,0,2
St. Margrite,0,0,0
Hollandia,0,6,0
Aphrodite,0,0,3
Bonzo,0,3,0
Socit Nautique de la Basse Seine-1,0,5,3
Socit Nautique de la Basse Seine-2,0,0,0
Univ. of Brussels,0,0,11
"Concordia Turnverein, St Louis",0,0,0
Rowing Club Castillon-3,0,0,3
Frip IV,0,0,0
Mad Dog,0,0,0
Hb-24,0,0,0
Hb-20,0,0,0
"South St Louis Turnverein, St Louis",0,0,0
Century Boat Club-1,4,0,0
Unique,0,0,0
Pan-Hellenic Athletic Club,0,0,0
"Phalainis ton Thorichtou ""Hydra""-2",0,17,7
Viking,0,0,0
Silja,0,6,0
Bermudian,0,0,0
Dresden,0,0,0
United States/Great Britain,0,0,2
Mignon-29,0,0,0
Mignon-3,0,0,1
Favorite-17,0,0,0
Favorite-1,0,8,0
St. Louis Amateur Athletic Association,0,12,0
Naiad,0,0,0
Pakaria,0,0,0
Ireland-3,0,4,0
Serbia-2,0,0,0
United States-14,0,0,0
Oxalis,0,0,0
Gitana-21,0,0,0
Gitana-2,0,5,5
Joy,0,2,0
Thalatta,0,0,0
Trintel II,0,0,0
"Central Turnverein, Chicago",0,0,6
Galopin-20,0,0,0
Galopin-9,0,0,0
France-4,0,0,0
Berliner Ruderclub,0,0,2
Rhythm,0,0,0
"Turnverein Vorwrts, Chicago",0,0,0
Guanahani,0,0,0
Unknown,0,0,0
Spirit III,0,0,0
Pannonia RC/National RC,0,0,0
Bella,0,0,0
May-Be 1960,0,0,0
May Be,0,0,5
Inga-Lill XXXXIII,0,0,0
Mexico-1,0,0,0
Nirwana,0,0,0
Omilos Ereton Peiraios-2,0,0,0
Llanoria,11,0,0
Marmi II-1,0,3,0
Kitty-1,8,0,0
Vaxholm Roddklubb,0,0,0
Tuvalu,0,0,0
A North American Team,0,0,4
Nirefs,3,0,0
Proteus II,0,0,0
Finn II,0,0,0
Impala,0,0,0
Missouri Athletic Club-3,0,0,11
Pam,0,0,0
Oleander II,0,0,0
Apache,0,0,0
Roklubb Kbnhavn-2,0,0,0
Tu-Fri,0,0,0
Tutti V,0,0,5
Cha-Cha III,0,0,0
Augsburg,0,0,0
Leander Club #2-2,0,2,0
Ariel,0,0,0
Encore,0,3,0
Feo,0,0,0
Seawanhaka Boat Club-1,2,0,0
Gem II,0,0,0
Gem III,0,0,0
Gem IV,0,0,2
Gem VII,0,0,0
Pupilles de Neptune de Lille #1-3,0,0,0
Chaje II,0,0,0
Ludwigshafener Ruder Verein-1,0,0,5
Leander Club #1-1,2,0,0
Dylan-2,0,0,0
Moorina,0,0,0
30. Februar,0,0,0
Cercle Nautique de Reims-4,0,0,0
Cuba-2,0,0,0
Struten,0,0,0
Gyrinus-1,6,0,0
Ylliam II,0,0,0
East Germany-3,0,0,0
Paka V,0,0,0
Brigantia,0,0,0
Sydney Rowing Club,0,0,0
Espardate,0,0,0
Australia/Great Britain,0,0,2
Kannibaltje,0,0,0
Milwaukee Athletic Club-1,5,0,0
Xantippa,0,0,0
Skum,0,2,0
Miss Denmark 1964,0,0,0
Kemphaan,0,0,0
Helsingfors R. K.,0,0,0
Newfoundland,0,0,0
Emily,0,5,0
Fram III,0,0,0
Mizar,0,0,0
Ubu,0,0,0
St. Louis Southwest Turnverein #2-3,0,0,5
"Socialer Turnverein, Detroit",0,0,0
Bohemia-1,0,0,0
Essen,0,0,0
Miss Nippon V,0,0,0
Argeste,0,0,0
Gullvinge,0,0,0
United States-4,0,0,2
South Korea-1,6,6,18
Bajazzo,0,0,0
Cinara-13,0,0,0
Ilderim,0,0,0
Tantalus,0,0,0
Peiraikos Syndesmos-2,0,0,0
Baby-9,0,0,0
Baby-1,1,0,1
Femur-18,0,0,0
Femur-1,1,0,0
Kosovo,1,0,0
Colette-10,0,0,0
Colette-12,0,0,0
Germany/United States,0,0,0
"Germania Ruder Club, Hamburg",0,0,0
Freddy,0,0,0
Rika II,0,0,0
Korshun,0,0,0
Hungary-2,0,0,0
Patricia,0,0,0
Tlaloc,0,0,0
Springbok,0,0,0
Aretusa,0,0,0
Quicksilver-2,0,0,0
Viktoriya,0,0,0
"Germania Ruder Club, Hamburg-2",5,0,0
Omilos Ereton Smyrnis,0,0,0
Belarus-2,0,0,0
Alcaid,0,0,0
Finland-1,0,0,0
Finland-2,0,0,0
Alain IV,0,0,0
Jupiter,2,0,0
Three Leaves,0,0,0
"Philadelphia Turngemeinde, Philadelphia",6,0,0
K.S.S.S. 1912-2,0,0,0
Unified Team-3,0,0,0
Paka,0,0,0
Sheerio,0,0,0
Pan II,0,0,0
Pasodoble,0,0,0
Freja,0,0,0
India-2,0,0,0
Sass-2,0,0,0
Roy,0,0,0
Ukraine-1,0,0,2
Deutscher Schwimm Verband Berlin,4,0,0
Jet,0,0,0
Belgium-3,0,0,0
Shrew II,0,0,2
Sylvia,0,0,6
Salamander,0,0,0
Denmark-3,0,0,0
Ingegerd,0,0,0
Slovakia-2,0,0,0
Johan,0,0,0
Jamaica-2,0,0,0
Andromeda,0,0,0
Hornet,0,0,0
South Sudan,0,0,0
Sweden-4,0,0,0
Chance,0,0,0
Brat,0,0,0
Yeoman V,0,0,0
Knigsberg,0,0,0
Don Schufro,0,0,1
Vinga-1,0,5,0
Aloha II,0,0,0
Raili,0,0,0
Syndi,0,0,0
Vento Sul,0,0,0
Sans Atout-1,0,5,0
Miss Nippon IV,0,0,0
New Zealand-1,0,0,0
Tramontane,0,0,0
Sandra,0,0,0
"Milwaukee Turnverein, Milwaukee",0,0,0
Nurdug II,0,3,0
Eleda,7,0,0
Lbeck,0,0,0
Yeoman,0,0,0
Boer Team,0,0,0
Beatrijs III-1,3,0,0
Lancet,0,0,0
West Germany-3,0,0,0
Lesotho,0,0,0
Ravenswood Boat Club-2,0,2,0
Whisper,0,0,0
Irene,5,0,0
Balaton,0,0,0
Kuling,0,0,0
Sif,4,0,0
Djinn,0,5,0
Mascotte,0,3,0
Bona Fide,3,0,0
Laurea-1,0,0,1
Skidoo,0,0,0
Tomahawk II,0,0,0
Whirlaway,0,0,0
Sorais-2,0,0,5
Minotaur,3,0,0
United States-5,0,0,0
Surprise,0,0,0
Zut,0,3,0
Tan-Fe-Pah,0,3,0
Ciss,0,0,0
Australia-3,0,0,0
Bohemia-3,0,0,0
Boreas,0,0,0
MitaII,0,0,0
Escapade,0,0,0
Slovakia-1,0,0,0
Ralia,0,0,5
Clearwater,0,0,1
Angerburg,0,0,0
Singapore-2,0,0,0
United States-8,0,0,0
Barco Deloro,0,0,0
Dick-8,0,0,0
Yugoslavia-2,0,0,0
Kalayaan,0,0,0
Bohemia-2,0,0,0
Olimpia,0,0,0
Macky VI,0,0,3
Nrnberg,1,0,0
Nephos I,0,0,0
Tengiri,0,0,0
Hayama,0,0,0
Rush VII,0,3,0
Rush V,3,0,0
Ethnikos Gymnastikos Syllogos,0,0,2
John B,0,0,0
Bim,0,0,0
Bonaparte,1,0,0
North Korea-2,0,0,0
Mythilus,0,0,0
Rambo,0,0,0
Floresco,0,0,0
Hong Kong-2,0,2,0
Luxembourg-2,0,0,0
Lucky,0,0,0
Spirit VI,0,0,0
Lully II,0,5,0
Sildra-1,4,0,0
Noreg,0,0,0
Subbnboana,0,0,0
"Phalainis ton Thorichtou ""Psara""-3",0,0,0
Slovenia-1,0,0,0
Rostock,0,1,0
Norman-1,0,0,0
Olympion,0,0,0
Sunshine,0,2,0
Heidelberg,0,0,0
Amulet-7,0,0,0
Amulet-3,0,0,0
Omas Helliniki P. S.,0,8,0
Crocodile-13,0,0,0
Crocodile-11,0,0,0
Leipzig,0,0,0
Red Indian,0,0,0
Alcyon-6,0,0,0
Alcyon-7,0,0,0
Suzon IV-39,0,0,0
Suzon IV-5,0,0,0
Mascaret-28,0,0,0
Mascaret-4,0,0,0
Poland-3,0,0,0
Sibindi-2,0,0,0
Pupilles de Neptune de Lille-1,0,0,4
Combine,0,0,0
Stade Franais AC-2,0,0,0
Kathleen,2,0,0
Club Nautique de Lyon-2,0,4,0
Holland,0,0,0
Starita,0,0,2
United States-12,0,0,0
Argo II,0,0,0
State VI,0,0,0
Frimousse,0,0,1
Denmark-4,0,0,0
Portugal-2,0,0,0
France/Great Britain,0,2,0
Gyp-23,0,0,0
Gyp-6,0,0,0
Zefyros,0,0,0
Pirouette-31,0,0,0
Pirouette-5,0,0,0
Societ Nautique de la Marne-1,0,2,0
Mebi,0,0,0
Slovenia-2,0,0,0
Riccar,0,0,0
Japan-3,0,0,0
Lynn,0,0,0
Neptun II,0,0,0
Potomac Archers,4,0,0
Ireland-1,0,0,0
Brentina,0,0,0
