Team,Year,Sport,Gold,Silver,Bronze
A North American Team,1900,Polo,0,0,4
Afghanistan,2008,Taekwondo,0,0,1
Afghanistan,2012,Taekwondo,0,0,1
Algeria,1984,Boxing,0,0,2
Algeria,1992,Athletics,1,0,0
Algeria,1992,Boxing,0,0,1
Algeria,1996,Athletics,1,0,0
Algeria,1996,Boxing,1,0,1
Algeria,2000,Athletics,1,1,2
Algeria,2000,Boxing,0,0,1
Algeria,2008,Judo,0,1,1
Algeria,2012,Athletics,1,0,0
Algeria,2016,Athletics,0,2,0
Ali-Baba II,1948,Sailing,0,0,5
Amateur Athletic Association,1900,Athletics,5,0,0
Amstel Amsterdam,1908,Rowing,0,0,4
Ancora,1920,Sailing,4,0,0
Angelita,1932,Sailing,12,0,0
Antwerpia V,1920,Sailing,0,0,5
Aphrodite,1964,Sailing,0,0,3
Argentina,1924,Athletics,0,1,0
Argentina,1924,Boxing,0,2,2
Argentina,1924,Polo,5,0,0
Argentina,1928,Boxing,2,2,0
Argentina,1928,Fencing,0,0,5
Argentina,1928,Football,0,16,0
Argentina,1928,Swimming,1,0,0
Argentina,1932,Athletics,1,0,0
Argentina,1932,Boxing,2,1,0
Argentina,1936,Boxing,1,1,2
Argentina,1936,Polo,4,0,0
Argentina,1936,Rowing,0,0,2
Argentina,1936,Swimming,0,1,0
Argentina,1948,Athletics,1,1,0
Argentina,1948,Boxing,2,0,1
Argentina,1948,Shooting,0,1,0
Argentina,1952,Athletics,0,1,0
Argentina,1952,Boxing,0,1,1
Argentina,1952,Rowing,2,0,0
Argentina,1952,Weightlifting,0,0,1
Argentina,1956,Boxing,0,0,1
Argentina,1956,Weightlifting,0,1,0
Argentina,1960,Boxing,0,0,1
Argentina,1964,Equestrianism,0,1,0
Argentina,1968,Boxing,0,0,1
Argentina,1968,Rowing,0,0,1
Argentina,1972,Rowing,0,1,0
Argentina,1988,Tennis,0,1,0
Argentina,1988,Volleyball,0,0,12
Argentina,1992,Tennis,0,0,2
Argentina,1996,Boxing,0,0,1
Argentina,1996,Football,0,18,0
Argentina,1996,Sailing,0,1,0
Argentina,2000,Hockey,0,16,0
Argentina,2000,Sailing,0,1,3
Argentina,2004,Basketball,12,0,0
Argentina,2004,Football,16,0,0
Argentina,2004,Hockey,0,0,16
Argentina,2004,Sailing,0,0,2
Argentina,2004,Swimming,0,0,1
Argentina,2004,Tennis,0,0,2
Argentina,2008,Basketball,0,0,12
Argentina,2008,Cycling,2,0,0
Argentina,2008,Football,18,0,0
Argentina,2008,Hockey,0,0,16
Argentina,2008,Judo,0,0,1
Argentina,2008,Sailing,0,0,2
Argentina,2012,Hockey,0,15,0
Argentina,2012,Sailing,0,0,2
Argentina,2012,Taekwondo,1,0,0
Argentina,2012,Tennis,0,0,1
Argentina,2016,Hockey,18,0,0
Argentina,2016,Judo,1,0,0
Argentina,2016,Sailing,2,0,0
Argentina,2016,Tennis,0,1,0
Argonaut Rowing Club,1908,Rowing,0,0,6
Armenia,1996,Wrestling,1,1,0
Armenia,2000,Weightlifting,0,0,1
Armenia,2008,Boxing,0,0,1
Armenia,2008,Weightlifting,0,0,3
Armenia,2008,Wrestling,0,0,2
Armenia,2012,Weightlifting,0,0,1
Armenia,2012,Wrestling,0,1,1
Armenia,2016,Weightlifting,0,2,0
Armenia,2016,Wrestling,1,1,0
Aschenbrodel,1900,Sailing,4,4,0
Atalanta Boat Club-1,1904,Rowing,2,0,0
Atalanta Boat Club-2,1904,Rowing,0,2,0
Atlanta,1920,Sailing,9,0,0
Australasia,1908,Athletics,0,0,1
Australasia,1908,Boxing,0,1,0
Australasia,1908,Rugby,15,0,0
Australasia,1908,Swimming,0,1,1
Australasia,1912,Swimming,5,2,2
Australasia,1912,Tennis,0,0,1
Australia,1896,Athletics,2,0,0
Australia,1900,Athletics,0,0,3
Australia,1900,Swimming,2,0,0
Australia,1904,Swimming,0,3,1
Australia,1906,Athletics,0,0,2
Australia,1906,Swimming,0,0,1
Australia,1920,Athletics,0,1,0
Australia,1920,Swimming,0,5,1
Australia,1924,Alpinism,1,0,0
Australia,1924,Athletics,1,0,0
Australia,1924,Diving,1,0,0
Australia,1924,Swimming,1,5,2
Australia,1928,Cycling,0,0,1
Australia,1928,Rowing,1,0,0
Australia,1928,Swimming,0,2,0
Australia,1932,Cycling,1,0,0
Australia,1932,Rowing,1,0,0
Australia,1932,Swimming,1,1,0
Australia,1932,Wrestling,0,0,1
Australia,1936,Athletics,0,0,1
Australia,1948,Athletics,1,6,2
Australia,1948,Rowing,1,0,0
Australia,1948,Swimming,0,2,2
Australia,1948,Wrestling,0,1,1
Australia,1952,Athletics,3,0,1
Australia,1952,Cycling,3,1,0
Australia,1952,Rowing,0,1,9
Australia,1952,Swimming,1,0,0
Australia,1952,Weightlifting,0,0,1
Australia,1956,Athletics,7,6,6
Australia,1956,Boxing,0,0,1
Australia,1956,Canoeing,0,0,2
Australia,1956,Cycling,2,0,1
Australia,1956,Rowing,0,1,11
Australia,1956,Swimming,19,4,2
Australia,1960,Athletics,1,2,1
Australia,1960,Boxing,0,0,2
Australia,1960,Equestrianism,5,1,0
Australia,1960,Swimming,5,21,8
Australia,1964,Athletics,1,1,4
Australia,1964,Hockey,0,0,14
Australia,1964,Judo,0,0,1
Australia,1964,Swimming,4,5,11
Australia,1968,Athletics,2,3,1
Australia,1968,Equestrianism,0,0,4
Australia,1968,Hockey,0,14,0
Australia,1968,Rowing,0,9,0
Australia,1968,Swimming,3,9,6
Australia,1972,Athletics,0,2,0
Australia,1972,Cycling,0,3,0
Australia,1972,Sailing,5,0,0
Australia,1972,Swimming,6,2,2
Australia,1976,Equestrianism,0,0,4
Australia,1976,Hockey,0,15,0
Australia,1976,Sailing,0,0,3
Australia,1976,Swimming,0,0,1
Australia,1980,Athletics,0,1,0
Australia,1980,Canoeing,0,1,0
Australia,1980,Swimming,6,0,5
Australia,1984,Athletics,1,1,1
Australia,1984,Canoeing,0,0,2
Australia,1984,Cycling,4,0,0
Australia,1984,Rowing,0,4,14
Australia,1984,Sailing,0,0,2
Australia,1984,Shooting,0,0,1
Australia,1984,Swimming,1,8,11
Australia,1984,Weightlifting,1,1,0
Australia,1988,Athletics,1,1,0
Australia,1988,Boxing,0,1,0
Australia,1988,Canoeing,0,1,2
Australia,1988,Cycling,0,2,6
Australia,1988,Hockey,16,0,0
Australia,1988,Swimming,1,1,1
Australia,1988,Tennis,0,0,2
Australia,1992,Athletics,0,0,2
Australia,1992,Canoeing,1,1,4
Australia,1992,Cycling,1,7,0
Australia,1992,Equestrianism,5,0,0
Australia,1992,Hockey,0,16,0
Australia,1992,Rowing,6,0,0
Australia,1992,Sailing,0,0,3
Australia,1992,Swimming,1,3,5
Australia,1992,Tennis,0,0,2
Australia,1994,Short Track Speed Skating,0,0,4
Australia,1996,Athletics,0,2,0
Australia,1996,Basketball,0,0,12
Australia,1996,Canoeing,0,0,5
Australia,1996,Cycling,0,1,8
Australia,1996,Equestrianism,4,0,0
Australia,1996,Hockey,16,0,16
Australia,1996,Rowing,6,2,8
Australia,1996,Sailing,0,2,2
Australia,1996,Shooting,2,0,1
Australia,1996,Softball,0,0,15
Australia,1996,Swimming,2,9,14
Australia,1996,Tennis,2,0,0
Australia,1996,Weightlifting,0,0,1
Australia,1998,Alpine Skiing,0,0,1
Australia,2000,Archery,1,0,0
Australia,2000,Athletics,1,2,0
Australia,2000,Basketball,0,12,0
Australia,2000,Canoeing,0,2,1
Australia,2000,Cycling,2,2,5
Australia,2000,Diving,0,0,4
Australia,2000,Equestrianism,4,1,0
Australia,2000,Hockey,16,0,16
Australia,2000,Judo,0,0,1
Australia,2000,Rowing,0,15,6
Australia,2000,Sailing,4,2,1
Australia,2000,Shooting,1,1,1
Australia,2000,Softball,0,0,15
Australia,2000,Swimming,15,27,4
Australia,2000,Taekwondo,1,1,0
Australia,2000,Tennis,0,2,0
Australia,2000,Trampolining,0,1,0
Australia,2000,Triathlon,0,1,0
Australia,2000,Water Polo,13,0,0
Australia,2002,Freestyle Skiing,1,0,0
Australia,2002,Short Track Speed Skating,1,0,0
Australia,2004,Archery,0,0,1
Australia,2004,Athletics,0,4,2
Australia,2004,Baseball,0,24,0
Australia,2004,Basketball,0,12,0
Australia,2004,Canoeing,0,3,0
Australia,2004,Cycling,12,2,3
Australia,2004,Diving,1,1,7
Australia,2004,Hockey,16,0,0
Australia,2004,Rowing,2,4,13
Australia,2004,Shooting,1,0,1
Australia,2004,Softball,0,15,0
Australia,2004,Swimming,17,11,3
Australia,2004,Tennis,0,0,1
Australia,2004,Triathlon,0,1,0
Australia,2006,Freestyle Skiing,1,0,1
Australia,2008,Athletics,1,2,1
Australia,2008,Basketball,0,12,0
Australia,2008,Canoeing,1,1,6
Australia,2008,Cycling,0,1,0
Australia,2008,Diving,1,2,0
Australia,2008,Equestrianism,0,5,0
Australia,2008,Hockey,0,0,17
Australia,2008,Rowing,4,4,0
Australia,2008,Sailing,4,2,0
Australia,2008,Shooting,0,0,1
Australia,2008,Softball,0,0,15
Australia,2008,Swimming,19,13,22
Australia,2008,Triathlon,1,0,1
Australia,2008,Water Polo,0,0,13
Australia,2010,Freestyle Skiing,1,1,0
Australia,2010,Snowboarding,1,0,0
Australia,2012,Athletics,1,2,0
Australia,2012,Basketball,0,0,12
Australia,2012,Canoeing,4,1,0
Australia,2012,Cycling,1,5,4
Australia,2012,Diving,0,1,0
Australia,2012,Hockey,0,0,16
Australia,2012,Rowing,0,8,5
Australia,2012,Sailing,5,3,0
Australia,2012,Swimming,7,17,8
Australia,2012,Triathlon,0,0,1
Australia,2012,Water Polo,0,0,13
Australia,2014,Freestyle Skiing,0,1,1
Australia,2014,Snowboarding,0,1,0
Australia,2016,Archery,0,0,3
Australia,2016,Athletics,0,1,1
Australia,2016,Canoeing,0,0,3
Australia,2016,Cycling,0,5,1
Australia,2016,Diving,0,0,2
Australia,2016,Equestrianism,0,0,4
Australia,2016,Modern Pentathlon,1,0,0
Australia,2016,Rowing,1,8,0
Australia,2016,Rugby Sevens,12,0,0
Australia,2016,Sailing,1,6,0
Australia,2016,Shooting,1,0,0
Australia,2016,Swimming,7,14,11
Australia-1,1996,Beach Volleyball,0,0,2
Australia-1,2000,Beach Volleyball,2,0,0
Australia/Great Britain,1896,Tennis,0,0,2
Austria,1896,Cycling,1,0,2
Austria,1896,Swimming,1,1,0
Austria,1900,Fencing,0,0,2
Austria,1900,Swimming,0,3,1
Austria,1904,Gymnastics,1,1,0
Austria,1904,Swimming,0,0,1
Austria,1906,Diving,0,0,1
Austria,1906,Swimming,1,0,1
Austria,1906,Weightlifting,1,1,0
Austria,1906,Wrestling,1,2,1
Austria,1908,Swimming,0,0,1
Austria,1912,Fencing,0,7,1
Austria,1912,Swimming,0,0,4
Austria,1912,Tennis,0,2,0
Austria,1924,Figure Skating,3,1,0
Austria,1924,Weightlifting,0,3,1
Austria,1928,Art Competitions,1,0,0
Austria,1928,Figure Skating,0,2,0
Austria,1928,Rowing,0,0,2
Austria,1928,Weightlifting,2,0,0
Austria,1932,Fencing,1,0,0
Austria,1932,Figure Skating,1,1,0
Austria,1932,Weightlifting,0,1,1
Austria,1932,Wrestling,0,0,2
Austria,1936,Art Competitions,1,1,3
Austria,1936,Canoeing,4,5,2
Austria,1936,Equestrianism,0,0,1
Austria,1936,Fencing,0,0,1
Austria,1936,Figure Skating,1,0,1
Austria,1936,Football,0,13,0
Austria,1936,Handball,0,22,0
Austria,1936,Rowing,0,1,0
Austria,1936,Speed Skating,0,0,1
Austria,1936,Weightlifting,1,0,0
Austria,1948,Alpine Skiing,1,2,3
Austria,1948,Art Competitions,1,2,1
Austria,1948,Athletics,1,0,1
Austria,1948,Canoeing,0,0,1
Austria,1948,Fencing,0,0,1
Austria,1948,Figure Skating,0,1,1
Austria,1952,Alpine Skiing,2,3,2
Austria,1952,Canoeing,0,1,2
Austria,1952,Figure Skating,0,1,0
Austria,1956,Alpine Skiing,3,3,3
Austria,1956,Canoeing,0,0,2
Austria,1956,Figure Skating,0,0,1
Austria,1956,Rowing,0,0,2
Austria,1960,Alpine Skiing,1,2,2
Austria,1960,Rowing,0,2,0
Austria,1960,Shooting,1,0,0
Austria,1960,Ski Jumping,0,0,1
Austria,1964,Alpine Skiing,3,2,2
Austria,1964,Figure Skating,0,1,0
Austria,1964,Luge,0,0,1
Austria,1968,Alpine Skiing,1,1,3
Austria,1968,Athletics,0,1,1
Austria,1968,Canoeing,0,0,2
Austria,1968,Figure Skating,1,0,0
Austria,1968,Luge,1,0,0
Austria,1968,Sailing,0,1,0
Austria,1968,Ski Jumping,0,1,1
Austria,1972,Alpine Skiing,0,2,2
Austria,1972,Athletics,0,0,1
Austria,1972,Canoeing,0,1,0
Austria,1972,Figure Skating,1,0,0
Austria,1972,Shooting,0,0,1
Austria,1976,Alpine Skiing,1,1,0
Austria,1976,Shooting,0,0,1
Austria,1976,Ski Jumping,1,1,1
Austria,1980,Alpine Skiing,2,1,1
Austria,1980,Equestrianism,1,0,0
Austria,1980,Sailing,0,3,0
Austria,1980,Shooting,0,0,1
Austria,1980,Ski Jumping,1,1,0
Austria,1984,Alpine Skiing,0,0,1
Austria,1984,Judo,1,0,1
Austria,1984,Shooting,0,1,0
Austria,1988,Alpine Skiing,3,3,0
Austria,1988,Judo,1,0,0
Austria,1988,Nordic Combined,0,1,3
Austria,1988,Speed Skating,0,1,1
Austria,1992,Alpine Skiing,3,2,3
Austria,1992,Equestrianism,0,4,0
Austria,1992,Luge,1,2,1
Austria,1992,Nordic Combined,0,0,4
Austria,1992,Rowing,0,2,0
Austria,1992,Ski Jumping,1,6,1
Austria,1992,Speed Skating,0,0,1
Austria,1994,Alpine Skiing,1,1,1
Austria,1994,Luge,0,1,1
Austria,1994,Ski Jumping,0,0,5
Austria,1994,Speed Skating,1,1,0
Austria,1996,Athletics,0,0,1
Austria,1996,Shooting,0,1,1
Austria,1998,Alpine Skiing,3,4,4
Austria,1998,Cross Country Skiing,0,1,1
Austria,1998,Luge,0,0,1
Austria,1998,Ski Jumping,0,0,5
Austria,1998,Snowboarding,0,0,1
Austria,2000,Athletics,0,1,0
Austria,2000,Sailing,3,0,0
Austria,2002,Alpine Skiing,2,2,5
Austria,2002,Biathlon,0,0,1
Austria,2002,Cross Country Skiing,1,1,0
Austria,2002,Luge,0,0,1
Austria,2002,Nordic Combined,0,0,6
Austria,2002,Skeleton,0,1,0
Austria,2004,Judo,0,1,0
Austria,2004,Sailing,2,1,0
Austria,2004,Shooting,0,0,1
Austria,2004,Swimming,0,2,0
Austria,2004,Triathlon,1,0,0
Austria,2006,Alpine Skiing,4,5,5
Austria,2006,Cross Country Skiing,0,0,1
Austria,2006,Nordic Combined,5,1,0
Austria,2006,Ski Jumping,5,1,0
Austria,2006,Snowboarding,0,0,1
Austria,2008,Canoeing,0,0,1
Austria,2008,Judo,0,1,0
Austria,2008,Swimming,0,0,1
Austria,2010,Alpine Skiing,1,1,2
Austria,2010,Biathlon,0,5,0
Austria,2010,Freestyle Skiing,0,1,0
Austria,2010,Luge,0,1,0
Austria,2010,Nordic Combined,4,0,1
Austria,2010,Ski Jumping,4,0,2
Austria,2010,Snowboarding,0,1,1
Austria,2014,Alpine Skiing,3,4,2
Austria,2014,Biathlon,0,1,4
Austria,2014,Nordic Combined,0,0,4
Austria,2014,Ski Jumping,0,5,0
Austria,2014,Snowboarding,1,0,1
Austria,2016,Sailing,0,0,2
Austria-1,1928,Figure Skating,0,2,0
Austria-1,1936,Figure Skating,0,2,0
Austria-1,1956,Figure Skating,2,0,0
Austria-1,1964,Bobsleigh,0,4,0
Austria-1,1964,Luge,2,0,0
Austria-1,1968,Bobsleigh,0,4,0
Austria-1,1968,Luge,0,2,0
Austria-1,1976,Luge,0,0,2
Austria-1,1980,Luge,0,0,2
Austria-1,1992,Bobsleigh,4,0,0
Austria-1,2006,Luge,2,0,0
Austria-1,2010,Luge,2,0,0
Austria-1,2014,Luge,0,2,0
Austria-2,1928,Figure Skating,0,0,2
Austria-2,1964,Luge,0,2,0
Azerbaijan,1996,Wrestling,0,1,0
Azerbaijan,2000,Boxing,0,0,1
Azerbaijan,2000,Shooting,1,0,0
Azerbaijan,2000,Wrestling,1,0,0
Azerbaijan,2004,Boxing,0,0,2
Azerbaijan,2004,Shooting,0,0,2
Azerbaijan,2004,Wrestling,1,0,0
Azerbaijan,2008,Boxing,0,0,1
Azerbaijan,2008,Judo,1,0,1
Azerbaijan,2008,Wrestling,0,2,2
Azerbaijan,2012,Boxing,0,0,2
Azerbaijan,2012,Weightlifting,0,0,1
Azerbaijan,2012,Wrestling,2,2,3
Azerbaijan,2016,Boxing,0,1,1
Azerbaijan,2016,Canoeing,0,1,1
Azerbaijan,2016,Judo,0,2,0
Azerbaijan,2016,Taekwondo,1,0,2
Azerbaijan,2016,Wrestling,0,3,6
"BLO Polo Club, Rugby",1900,Polo,0,4,0
Baby-1,1900,Sailing,1,0,1
"Bagatelle Polo Club, Paris",1900,Polo,0,0,4
Bahamas,1992,Athletics,0,0,1
Bahamas,1996,Athletics,0,5,0
Bahamas,2000,Athletics,6,0,5
Bahamas,2004,Athletics,1,0,1
Bahamas,2008,Athletics,0,6,1
Bahamas,2012,Athletics,4,0,0
Bahamas,2016,Athletics,1,0,5
Bahrain,2012,Athletics,0,0,1
Bahrain,2016,Athletics,1,1,0
Ballerina IV,1960,Sailing,0,0,3
Barbados,2000,Athletics,0,0,1
Barion/Bari-2,1906,Rowing,0,3,0
Barrenjoey,1964,Sailing,3,0,0
Beatrijs III-1,1920,Sailing,3,0,0
Belarus,1994,Biathlon,0,1,0
Belarus,1994,Speed Skating,0,1,0
Belarus,1996,Athletics,0,2,2
Belarus,1996,Gymnastics,0,0,4
Belarus,1996,Rowing,1,0,9
Belarus,1996,Shooting,0,1,0
Belarus,1996,Wrestling,0,3,1
Belarus,1998,Biathlon,0,0,1
Belarus,1998,Freestyle Skiing,0,0,1
Belarus,2000,Athletics,2,0,3
Belarus,2000,Judo,0,0,1
Belarus,2000,Modern Pentathlon,0,0,1
Belarus,2000,Rhythmic Gymnastics,0,7,0
Belarus,2000,Rowing,1,0,0
Belarus,2000,Shooting,0,1,3
Belarus,2000,Weightlifting,0,0,2
Belarus,2000,Wrestling,0,0,1
Belarus,2002,Freestyle Skiing,0,0,1
Belarus,2004,Athletics,1,0,0
Belarus,2004,Boxing,0,2,0
Belarus,2004,Canoeing,0,0,2
Belarus,2004,Cycling,0,0,1
Belarus,2004,Judo,1,0,0
Belarus,2004,Rowing,0,1,2
Belarus,2004,Shooting,0,0,1
Belarus,2004,Weightlifting,0,2,1
Belarus,2004,Wrestling,0,0,1
Belarus,2006,Freestyle Skiing,0,1,0
Belarus,2008,Athletics,1,3,2
Belarus,2008,Canoeing,6,0,2
Belarus,2008,Rhythmic Gymnastics,0,1,6
Belarus,2008,Rowing,0,0,3
Belarus,2008,Weightlifting,1,1,1
Belarus,2008,Wrestling,0,0,2
Belarus,2010,Biathlon,0,1,1
Belarus,2010,Freestyle Skiing,1,0,0
Belarus,2012,Canoeing,0,4,4
Belarus,2012,Rhythmic Gymnastics,0,6,1
Belarus,2012,Shooting,1,0,0
Belarus,2012,Swimming,0,2,0
Belarus,2012,Tennis,2,0,1
Belarus,2012,Weightlifting,0,0,2
Belarus,2014,Biathlon,3,0,1
Belarus,2014,Freestyle Skiing,2,0,0
Belarus,2016,Athletics,0,1,0
Belarus,2016,Canoeing,0,0,4
Belarus,2016,Swimming,0,0,1
Belarus,2016,Trampolining,1,0,0
Belarus,2016,Weightlifting,0,2,0
Belarus,2016,Wrestling,0,1,2
Belgium,1900,Archery,3,3,1
Belgium,1900,Equestrianism,2,1,1
Belgium,1900,Shooting,0,1,2
Belgium,1906,Athletics,0,1,0
Belgium,1906,Cycling,0,0,1
Belgium,1906,Fencing,2,0,4
Belgium,1906,Wrestling,0,0,1
Belgium,1908,Cycling,0,0,1
Belgium,1908,Fencing,0,0,7
Belgium,1908,Shooting,1,5,0
Belgium,1908,Water Polo,0,7,0
Belgium,1912,Equestrianism,0,0,1
Belgium,1912,Fencing,7,0,1
Belgium,1912,Rowing,0,1,0
Belgium,1912,Water Polo,0,0,9
Belgium,1920,Archery,32,11,2
Belgium,1920,Art Competitions,2,1,3
Belgium,1920,Cycling,1,0,4
Belgium,1920,Equestrianism,4,4,4
Belgium,1920,Fencing,0,7,0
Belgium,1920,Football,14,0,0
Belgium,1920,Gymnastics,0,24,24
Belgium,1920,Hockey,0,0,14
Belgium,1920,Shooting,0,6,0
Belgium,1920,Swimming,0,0,1
Belgium,1920,Tug-Of-War,0,0,8
Belgium,1920,Water Polo,0,8,0
Belgium,1920,Weightlifting,1,1,1
Belgium,1924,Boxing,1,0,1
Belgium,1924,Cycling,0,5,4
Belgium,1924,Fencing,1,12,1
Belgium,1924,Sailing,1,0,0
Belgium,1924,Swimming,0,1,0
Belgium,1924,Water Polo,0,11,0
Belgium,1924,Wrestling,0,1,0
Belgium,1928,Boxing,0,0,1
Belgium,1928,Figure Skating,0,0,1
Belgium,1928,Rowing,0,0,3
Belgium,1928,Wrestling,0,1,0
Belgium,1932,Art Competitions,0,0,1
Belgium,1936,Art Competitions,0,0,1
Belgium,1936,Cycling,0,0,4
Belgium,1936,Water Polo,0,0,9
Belgium,1948,Athletics,1,0,1
Belgium,1948,Bobsleigh,0,4,0
Belgium,1948,Boxing,0,1,0
Belgium,1948,Cycling,4,1,1
Belgium,1948,Fencing,0,0,6
Belgium,1948,Figure Skating,2,0,0
Belgium,1952,Cycling,5,1,0
Belgium,1952,Rowing,0,2,0
Belgium,1956,Sailing,0,1,0
Belgium,1956,Wrestling,0,1,0
Belgium,1960,Athletics,0,1,0
Belgium,1960,Cycling,0,1,1
Belgium,1960,Sailing,0,0,1
Belgium,1964,Athletics,1,0,0
Belgium,1964,Cycling,1,0,1
Belgium,1968,Cycling,0,0,2
Belgium,1968,Weightlifting,0,1,0
Belgium,1972,Athletics,0,2,0
Belgium,1976,Athletics,0,2,1
Belgium,1976,Cycling,0,1,0
Belgium,1976,Equestrianism,0,0,5
Belgium,1980,Judo,1,0,0
Belgium,1984,Cycling,1,0,0
Belgium,1984,Rowing,0,2,1
Belgium,1984,Swimming,0,0,1
Belgium,1988,Judo,0,0,1
Belgium,1988,Shooting,0,0,1
Belgium,1992,Cycling,0,0,1
Belgium,1992,Judo,0,0,1
Belgium,1992,Rowing,0,1,0
Belgium,1996,Judo,1,1,2
Belgium,1996,Sailing,0,1,0
Belgium,1996,Swimming,1,0,0
Belgium,1998,Speed Skating,0,0,1
Belgium,2000,Cycling,0,3,0
Belgium,2000,Judo,0,0,2
Belgium,2000,Tennis,0,0,2
Belgium,2004,Cycling,0,0,1
Belgium,2004,Judo,0,0,1
Belgium,2004,Tennis,1,0,0
Belgium,2008,Athletics,1,4,0
Belgium,2012,Judo,0,0,1
Belgium,2012,Sailing,0,0,1
Belgium,2012,Shooting,0,1,0
Belgium,2016,Athletics,1,0,0
Belgium,2016,Cycling,1,0,1
Belgium,2016,Hockey,0,16,0
Belgium,2016,Judo,0,0,1
Belgium,2016,Swimming,0,1,0
Belgium-1,1900,Equestrianism,1,0,0
Belgium-1,1924,Bobsleigh,0,0,5
Bem II,1936,Sailing,0,0,2
Bera,1924,Sailing,5,0,0
Berliner Ruderclub,1908,Rowing,0,0,2
Berliner Ruderverein von 1876-2,1912,Rowing,0,0,9
Bermuda,1976,Boxing,0,0,1
Bingo,1964,Sailing,0,0,3
Bissbi,1932,Sailing,4,0,0
Bluebottle,1956,Sailing,0,0,3
Bohemia,1900,Athletics,0,1,0
Bohemia,1900,Tennis,0,0,1
Bohemia,1906,Tennis,0,0,3
Bohemia,1908,Fencing,0,0,6
Bohemia/Great Britain,1900,Tennis,0,0,2
Bona Fide,1900,Sailing,3,0,0
Bonaparte,2008,Equestrianism,1,0,0
Bonzo,1924,Sailing,0,3,0
Boreas-2,1920,Sailing,0,2,0
Boston Archers,1904,Archery,0,0,4
Botswana,2012,Athletics,0,1,0
Brazil,1920,Shooting,1,1,5
Brazil,1948,Basketball,0,0,10
Brazil,1952,Athletics,1,0,1
Brazil,1952,Swimming,0,0,1
Brazil,1956,Athletics,1,0,0
Brazil,1960,Basketball,0,0,12
Brazil,1960,Swimming,0,0,1
Brazil,1964,Basketball,0,0,12
Brazil,1968,Athletics,0,1,0
Brazil,1968,Boxing,0,0,1
Brazil,1968,Sailing,0,0,2
Brazil,1972,Athletics,0,0,1
Brazil,1972,Judo,0,0,1
Brazil,1976,Athletics,0,0,1
Brazil,1976,Sailing,0,0,2
Brazil,1980,Athletics,0,0,1
Brazil,1980,Sailing,4,0,0
Brazil,1980,Swimming,0,0,4
Brazil,1984,Athletics,1,0,0
Brazil,1984,Football,0,16,0
Brazil,1984,Judo,0,1,2
Brazil,1984,Sailing,0,3,0
Brazil,1984,Swimming,0,1,0
Brazil,1984,Volleyball,0,12,0
Brazil,1988,Athletics,0,1,1
Brazil,1988,Football,0,16,0
Brazil,1988,Judo,1,0,0
Brazil,1988,Sailing,0,0,4
Brazil,1992,Judo,1,0,0
Brazil,1992,Swimming,0,1,0
Brazil,1992,Volleyball,12,0,0
Brazil,1996,Athletics,0,0,4
Brazil,1996,Basketball,0,12,0
Brazil,1996,Equestrianism,0,0,4
Brazil,1996,Football,0,0,17
Brazil,1996,Judo,0,0,2
Brazil,1996,Sailing,3,0,2
Brazil,1996,Swimming,0,1,2
Brazil,1996,Volleyball,0,0,12
Brazil,2000,Athletics,0,5,0
Brazil,2000,Basketball,0,0,12
Brazil,2000,Equestrianism,0,0,4
Brazil,2000,Judo,0,2,0
Brazil,2000,Sailing,0,1,2
Brazil,2000,Swimming,0,0,4
Brazil,2000,Volleyball,0,0,12
Brazil,2004,Athletics,0,0,1
Brazil,2004,Equestrianism,1,0,0
Brazil,2004,Football,0,17,0
Brazil,2004,Judo,0,0,2
Brazil,2004,Sailing,3,0,0
Brazil,2004,Volleyball,12,0,0
Brazil,2008,Athletics,1,0,4
Brazil,2008,Football,0,18,17
Brazil,2008,Judo,0,0,3
Brazil,2008,Sailing,0,2,2
Brazil,2008,Swimming,1,0,1
Brazil,2008,Taekwondo,0,0,1
Brazil,2008,Volleyball,12,12,0
Brazil,2012,Boxing,0,1,2
Brazil,2012,Football,0,18,0
Brazil,2012,Gymnastics,1,0,0
Brazil,2012,Judo,1,0,3
Brazil,2012,Modern Pentathlon,0,0,1
Brazil,2012,Sailing,0,0,2
Brazil,2012,Swimming,0,1,1
Brazil,2012,Volleyball,12,12,0
Brazil,2016,Athletics,1,0,0
Brazil,2016,Boxing,1,0,0
Brazil,2016,Canoeing,0,3,1
Brazil,2016,Football,17,0,0
Brazil,2016,Gymnastics,0,2,1
Brazil,2016,Judo,1,0,2
Brazil,2016,Sailing,2,0,0
Brazil,2016,Shooting,0,1,0
Brazil,2016,Swimming,0,0,1
Brazil,2016,Taekwondo,0,0,1
Brazil,2016,Volleyball,12,0,0
Brazil-1,1996,Beach Volleyball,2,0,0
Brazil-1,2000,Beach Volleyball,0,4,0
Brazil-1,2004,Beach Volleyball,2,2,0
Brazil-1,2008,Beach Volleyball,0,2,0
Brazil-1,2012,Beach Volleyball,0,2,2
Brazil-1,2016,Beach Volleyball,2,2,0
Brazil-2,1996,Beach Volleyball,0,2,0
Brazil-2,2000,Beach Volleyball,0,0,2
Brazil-2,2008,Beach Volleyball,0,0,2
Brussels Swimming and Water Polo Club,1900,Water Polo,0,10,0
Brynhild-2,1900,Sailing,0,1,0
Bucintoro Venezia,1906,Rowing,8,0,0
Bucintoro Venezia-1,1906,Rowing,3,0,0
Bulgaria,1952,Boxing,0,0,1
Bulgaria,1956,Football,0,0,14
